club,position,prev_position,played,won,drawn,lost,gf,ga,gd,points
Arsenal,1,2,31,22,5,4,75,24,51,71
Liverpool,2,1,31,21,8,2,72,30,42,71
Manchester City,3,3,31,21,7,3,71,31,40,70
Tottenham Hotspur,4,5,31,18,6,7,65,45,20,60
Aston Villa,5,4,32,18,6,8,66,49,17,60
Manchester United,6,6,31,15,4,12,45,46,-1,49
West Ham United,7,7,32,13,9,10,52,56,-4,48
Newcastle United,8,8,31,14,5,12,65,52,13,47
Chelsea,9,10,30,12,8,10,55,52,3,44
Brighton and Hove Albion,10,9,31,11,10,10,51,49,2,43
Wolverhampton Wanderers,11,11,31,12,6,13,44,49,-5,42
Bournemouth,12,12,31,11,8,12,45,55,-10,41
Fulham,13,13,32,11,6,15,47,51,-4,39
Crystal Palace,14,14,31,7,9,15,36,54,-18,30
Brentford,15,15,32,7,8,17,45,58,-13,29
Everton,16,17,31,9,8,14,32,42,-10,27
Nottingham Forest,17,16,32,7,8,17,40,56,-16,25
Luton Town,18,18,32,6,7,19,45,65,-20,25
Burnley,19,19,32,4,7,21,32,67,-35,19
Sheffield United,20,20,31,3,7,21,30,82,-52,16
